BAIRRO,TIPO,OCORRENCIA
IPUTINGA,CICLISTA,COLISÃO
SÃO JOSÉ,CICLOMOTOR,ATROPELAMENTO
BOA VISTA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
ÁGUA FRIA,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
PINA,MOTOCICLETA,COLISÃO
CASA FORTE,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
JORDÃO,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
NOVA DESCOBERTA,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
PAISSANDU,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
ILHA DO RETIRO,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
JORDÃO,MOTOCICLETA,COLISÃO
CAXANGÁ,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
CIDADE UNIVERSITÁRIA,MOTOCICLETA,COLISÃO
TORRÕES,MOTOCICLETA,COLISÃO
DOIS UNIDOS,MOTOCICLETA,COLISÃO
SANTO ANTÔNIO,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
JORDÃO,MOTOCICLETA,COLISÃO
JORDÃO,MOTOCICLETA,COLISÃO
VÁRZEA,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
ENCRUZILHADA,MOTOCICLETA,COLISÃO
CASA FORTE,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
SANCHO,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
AREIAS,MOTOCICLETA,COLISÃO
CAXANGÁ,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
ESTÂNCIA,MOTOCICLETA,COLISÃO
PORTO DA MADEIRA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
PRADO,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
TAMARINEIRA,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
JARDIM SÃO PAULO,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
ILHA JOANA BEZERRA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
CIDADE UNIVERSITÁRIA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
ENGENHO DO MEIO,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
ROSARINHO,MOTOCICLETA,COLISÃO
BREJO DE BEBERIBE,MOTOCICLETA,COLISÃO
TAMARINEIRA,MOTOCICLETA,COLISÃO
JARDIM SÃO PAULO,MOTOCICLETA,COLISÃO
MACAXEIRA,MOTOCICLETA,COLISÃO
IPUTINGA,MOTOCICLETA,COLISÃO
CABANGA,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
ROSARINHO,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
TORRÕES,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,ATROPELAMENTO
LINHA DO TIRO,OUTROS,ATROPELAMENTO
IBURA,OUTROS,COLISÃO
PINA,PEDESTRE,ATROPELAMENTO
CASA AMARELA,PEDESTRE,ATROPELAMENTO
BEBERIBE,PEDESTRE,ATROPELAMENTO
COELHOS,PEDESTRE,ATROPELAMENTO
SANTO ANTÔNIO,PEDESTRE,ATROPELAMENTO
BOA VIAGEM,PEDESTRE,ATROPELAMENTO
TORRÕES,PEDESTRE,ATROPELAMENTO
BOA VIAGEM,PEDESTRE,ATROPELAMENTO
MACAXEIRA,PEDESTRE,ATROPELAMENTO
PRADO,PEDESTRE,ATROPELAMENTO
ESTÂNCIA,PEDESTRE,ATROPELAMENTO
ENCRUZILHADA,PEDESTRE,ATROPELAMENTO
MADALENA,PEDESTRE,ATROPELAMENTO
BOA VISTA,PEDESTRE,ATROPELAMENTO
IPUTINGA,PEDESTRE,ATROPELAMENTO
AFOGADOS,PEDESTRE,ATROPELAMENTO
CAXANGÁ,PEDESTRE,ATROPELAMENTO
IPSEP,PEDESTRE,ATROPELAMENTO
CAMPINA DO BARRETO,PEDESTRE,ATROPELAMENTO
CASA FORTE,PEDESTRE,ATROPELAMENTO
CASA AMARELA,PEDESTRE,ATROPELAMENTO
TORRÕES,PEDESTRE,ATROPELAMENTO
